Notes offered by Prospectus (https://www.lendingclub.com/info/prospectus.action)
"id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","apr","int_rate","installment","grade","sub_grade","emp_name","emp_length","home_ownership","annual_inc","is_inc_v","accept_d","exp_d","list_d","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","addr_city","addr_state","acc_now_delinq","acc_open_past_24mths","bc_open_to_buy","percent_bc_gt_75","bc_util","dti","delinq_2yrs","delinq_amnt","earliest_cr_line","fico_range_low","fico_range_high","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","mths_since_recent_inq","mths_since_recent_loan_delinq","mths_since_recent_revol_delinq","mths_since_recent_bc","mort_acc","open_acc","pub_rec_gt_100","pub_rec","total_bal_ex_mort","revol_bal","revol_util","total_bc_limit","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","last_fico_range_high","last_fico_range_low","total_il_high_credit_limit","mths_since_oldest_il_open","num_rev_accts","mths_since_recent_bc_dlq","pub_rec_bankruptcies","num_accts_ever_120_pd","chargeoff_within_12_mths","collections_12_mths_ex_med","tax_liens","mths_since_last_major_derog","num_sats","num_tl_op_past_12m","mo_sin_rcnt_tl","tot_hi_cred_lim","tot_cur_bal","avg_cur_bal","num_bc_tl","num_actv_bc_tl","num_bc_sats","pct_tl_nvr_dlq","num_tl_90g_dpd_24m","num_tl_30dpd","num_tl_120dpd_2m","num_il_tl","mo_sin_old_il_acct","num_actv_rev_tl","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","total_rev_hi_lim","num_rev_tl_bal_gt_0","num_op_rev_tl","tot_coll_amt","policy_code"
"54734","80364","25000","25000","19080.057198275422"," 36 months","13.62%"," 11.89%","829.1","B","B4","","< 1 year","RENT","85000","TRUE","2009-07-26","2009-08-09","2009-07-26","2009-08-05","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=54734","Due to a lack of personal finance education and exposure to poor financing skills growing up, I was easy prey for credit predators. I am devoted to becoming debt-free and can assure my lenders that I will pay on-time every time. I have never missed a payment during the last 16 years that I have had credit. ","debt_consolidation","Debt consolidation for on-time payer","San Francisco","CA","0","","","","","19.48","0","0","1994-02-15 10:39","735","739","0","","","","","","","","10","","0","","28854","52.1%","","42","f","0.00","0.00","29324.32","21811.70","25000.00","4324.32","0.0","2011-10-14","7392.08","null","2012-08-28","789","785","","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"55742","114426","7000","7000","672.80383870383"," 36 months","11.40%"," 10.71%","228.22","B","B5","CNN","< 1 year","RENT","65000","FALSE","2008-05-12","2008-05-26","2008-05-12","2008-05-27","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=55742","Just want to pay off the last bit of credit card debt at a better rate.","credit_card","Credit Card payoff","Brooklyn","NY","0","","","","","14.29","0","0","2000-10-21 12:30","705","709","0","","","","","","","","7","","0","","33623","76.7%","","7","f","0.00","0.00","8215.45","684.85","7000.00","1215.45","0.0","2011-06-02","228.48","null","2012-08-06","679","675","","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"57245","138150","1200","1200","1200"," 36 months","16.22%"," 13.11%","40.5","C","C2","city of beaumont texas","10+ years","OWN","54000","FALSE","2010-03-11","2010-03-25","2010-03-11","2010-03-22","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=57245","If funded, I would use this loan consolidate two loans with interest rates of 15 and 16 percent respectively.   I have no mortgage.  One car is paid for and the other I bought from my sister.  I pay her $200 / month.  I owe her about $1000.  The biggest monthly expense we have is tuition for two kids going to Catholic School, ($600 / month).    I have been on the same job since 1990, with a salary of $54,000.  My husband has been on the same job since 1995, with a salary of $30,000.  My monthy expenses run about $2750.    Borrower added on 03/11/10 > We have really worked hard to clean up our credit during the past five years.  We are really wanting to use this loan to continue that by paying off higher interest loans with this loan.<br/>","debt_consolidation","zxcvb","beaumont","TX","0","","","","","5.47","0","0","1985-01-21 05:20","675","679","0","64","","","","","","","5","","0","","2584","40.4%","","31","f","0.00","0.00","1457.31","1457.31","1200.00","257.31","0.0","2013-03-29","42.73","null","2013-03-25","709","705","","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"57416","139635","10800","10800","10691.551053035812"," 36 months","16.17%"," 13.57%","366.86","C","C3","State Farm Insurance","6 years","RENT","32000","FALSE","2009-11-04","2009-11-18","2009-11-04","2009-11-12","Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=57416","I currently have a personal loan with Citifinancial that I have a high interest rate on I need 7000 to pay this off.  I also have 3 other creidit cards I would like to pay off with this loan to get this into one easy payment.  139635 added on 11/04/09 > Having one monthly payment will be a lot easier instead of making multiple payments to different companies.  I have paid all of my bills on time<br/>","debt_consolidation","Nicolechr1978","Waterbury","CT","0","","","","","11.63","0","0","1996-12-12 07:47","680","684","1","58","","","","","","","14","","0","","3511","25.6%","","40","f","0.00","0.00","13195.27","13061.31","10800.01","2395.26","0.0","2012-11-23","398.0","null","2012-12-21","674","670","","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"58524","149512","7200","7200","7200"," 36 months","22.81%"," 19.05%","264.11","D","D4","Arkwright","9 years","RENT","58000","FALSE","2012-08-14","2012-08-28","2012-08-14","2012-08-21","Current","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=58524","Credit cards are out of here, I am tired of being in debt.  I have a girlfriend and her daughter, that I am starting a life with.  I will pay all of this off one way or another, but I would rather do it with your help instead of the faceless bank!  Can you help me?  ","debt_consolidation","caminijio","West Warwick","RI","0","4","426","75","90.1","2.05","0","0","1994-04-21 08:46","660","664","0","26","","9","","26","8","3","6","0","0","3874","3874","90.1%","4300","25","f","5591.81","5591.81","2638.5","2638.50","1608.19","1030.31","0.0","2013-06-27","264.11","2013-07-21","2013-06-25","669","665","0","150","15","51","0","1","0","0","0","30","6","3","8","160300","154930","30986","11","4","4","84","0","0","0","6","150","4","223","8","4300","4","5","0","1"


Loans that do not meet the current credit policy
"55521","107577","1000","1000","0"," 36 months","17.50%"," 16.08%","35.2","F","F2","Best Buy","< 1 year","RENT","30000","FALSE","2008-06-23","2008-07-07","2008-06-23","2008-07-07","Does not meet the current credit policy.  Status:Fully Paid","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=55521","Looking to sure up a few debts for consolidation, this will close out a couple credit card debts.  Not looking for a ton of money, just got a raise in my current fulltime job, to help pay.","debt_consolidation","debt consolidation","grayslake","IL","0","","","","","23.84","0","0","2001-08-29 08:38","640","644","1","","","","","","","","9","","0","","10125","90.4%","","15","f","0.00","0.00","1207.76","0.00","999.99","207.77","0.0","2010-03-11","538.97","2010-04-07","2010-03-08","679","675","","","","","0","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
"56413","129814","7000","7000","0.007493833663"," 36 months","17.50%"," 16.08%","246.38","F","F2","Health Net, Inc.","10+ years","MORTGAGE","189500","TRUE","2008-04-13","2008-04-27","2008-04-13","2008-04-28","Does not meet the current credit policy.  Status:Charged Off","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=56413","I need to payoff my highest rate credit card debt with a lower interest loan.   I want to payoff as much as possible and then close the CC accounts.  I know that closing the CC accounts may hurt my FICO a little in the short run, but I want to close them nevertheless.  Purpose of loan: Payoff highest-rate credit card debt, which is currently 28-31.5%.  Getting another loan with a lower interest rate will improve my monthly cashflow.  My progress:  Today I have 14 credit lines with a revolving credit balance of 150K and utilization of 99% (result of recently paying down 2 CC accounts anc closing them).   My financial situation:  I have accumulated too much credit card debt and continue to work to pay it all off.  I have a perfect payback history: no missed payments or delinquent accounts.  My payback history in my credit files is perfect, but I have let some credit card rates get too high by some inattention on my part.  I opened some credit cards with low introductory rates on balance transfers but because I was late on a couple of the payments by literally 1-3 days, the credit card companies jacked up the rates.  Those initial low interest rate offers (e.g., 0 to 3.99% for 12 months) for balance transfers were tempting, but came back to haunt me.  My credit rating/score looks poor becasue of my high percent of borrowing vs. limit.  I've always paid back and will continue to.  I have no delinquencies or negatives on my credit reports and I'm committed to it staying that way.  Any form of negative mark on my credit report is not an option for me.  If my loan is funded, I will immediately pay down my highest interest debt .  I'm fortunate to be in a situation where I'm earning a good income, but need to get my high-rate credit card debt eliminated in the short term, and continue to work to be free of all credit card debt in the next 3-4 years.  Respectfully requesting your help.  Monthly net income:  $ 9,500.00  Monthly expenses: $    Housing: $ 4000   Insurance: $ 200   Car expenses: $ 1000   Utilities: $ 200   Phone, cable, internet: $ 200   Food, entertainment: $ 400   Clothing, household expenses $ 150   Credit cards and other loans: $ 2500   Other expenses: $ 350 ","debt_consolidation","Payoff high-rate CC Debt - No DQ/missed","Folsom","CA","0","","","","","22.47","0","0","1988-07-15 06:49","645","649","4","0","0","","","","","","16","","0","","150971","92.3%","","31","f","0.00","0.00","1231.65","0.00","783.46","448.19","0.0","2008-10-02","246.38","2009-06-27","2009-06-08","499","0","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","1"
