LoanId,OrderId,PortfolioId,NoteId,PortfolioName,AmountLent,InterestRate,LoanClass.name,LoanType.Label,LoanMaturity.Maturity,PrincipalRemaining,Trend,NoteType,Accrual,PaymentsReceivedToDate,NextPaymentDate,Status,Issue Date,OrderDate,LoanStatusDate
1,2023027,1,12345,All,25,0.079,A4,Personal,36,12.57816024,DOWN,1,0.087896647,14.82,7/26/13,Current,11/17/11,11/15/11,7/15/13
2,2477056,1,12346,All,25,0.0976,B1,Personal,36,15.50650541,DOWN,1,0.129802712,12,7/27/13,Current,3/21/12,3/18/12,12/5/12
3,2023027,1,12347,All,25,0.0991,B1,Personal,60,18.37307545,DOWN,1,0.161511399,10.07,7/26/13,Current,11/25/11,11/15/11,12/26/11
4,2159809,1,12348,All,25,0.1171,B3,Personal,36,18.32162759,DOWN,1,0,9.02,5/13/13,Charged Off,1/5/12,12/31/11,5/20/13
5,2023027,1,12349,All,25,0.1677,D2,Personal,60,19.27259971,UP,1,0.302867089,11.59,7/24/13,Current,11/22/11,11/15/11,12/24/11
6,2023027,1,12350,All,25,0.1269,B5,Personal,36,0,DOWN,1,0,27.54,11/29/12,Fully Paid,11/17/11,11/15/11,11/20/12
7,2054526,1,12351,All,25,0.0991,B1,Personal,36,12.81444732,DOWN,1,0.06442741,15.2,8/9/13,Current,12/6/11,11/27/11,6/22/12
8,2023027,1,12352,All,25,0.1991,E4,Personal,60,0,DOWN,1,0,28.96,10/22/12,Fully Paid,11/21/11,11/15/11,10/18/12
9,2023027,1,12353,All,25,0.1465,C3,Personal,60,23.8394509,DOWN,1,0,3.26,9/17/12,Charged Off,11/18/11,11/15/11,9/28/12
10,2023027,1,12354,All,25,0.1903,E2,Personal,60,21.73714911,DOWN,1,0,7.69,4/20/13,Charged Off,11/23/11,11/15/11,4/30/13
11,2023027,1,12355,All,25,0.1269,B5,Personal,60,18.40355336,FLAT,1,0.062583972,11.2,8/18/13,Current,11/18/11,11/15/11,12/18/11
12,2023027,1,12356,All,25,0.1171,B3,Personal,60,22.78612444,DOWN,1,0,3.85,12/19/12,Charged Off,11/16/11,11/15/11,12/24/12
13,2023027,1,12357,All,25,0.1427,C2,Personal,60,18.59876971,DOWN,1,0.049789786,11.6,8/21/13,Current,11/21/11,11/15/11,12/21/11
14,2023027,1,12358,All,25,0.2167,F3,Personal,60,19.46218358,UP,1,0.067858447,13.6,8/22/13,Current,11/17/11,11/15/11,12/22/11
15,2023027,1,12359,All,25,0.1171,B3,Personal,60,18.25320792,DOWN,1,0.034417958,11,8/22/13,Current,11/22/11,11/15/11,12/22/11
16,2023027,1,12360,All,25,0.1349,C1,Personal,60,18.50413465,UP,1,0.040134336,11.4,8/22/13,Current,11/17/11,11/15/11,12/22/11
17,2023027,1,12361,All,25,0.1242,B4,Personal,60,18.3295108,DOWN,1,0.036683891,11.2,8/22/13,Current,11/22/11,11/15/11,12/22/11
18,2023027,1,12362,All,25,0.089,A5,Personal,60,18.34703258,DOWN,1,0.152785169,9.69,7/24/13,Current,11/23/11,11/15/11,9/6/12
19,2023027,1,12363,All,25,0.089,A5,Personal,36,12.69467564,UP,1,0.093707408,15.01,7/28/13,Current,11/17/11,11/15/11,12/29/11
20,2023027,1,12364,All,25,0.0751,A3,Personal,36,12.63078065,DOWN,1,0.083315407,14.63,7/26/13,Current,11/18/11,11/15/11,12/26/11
21,2023027,1,12365,All,25,0.1727,D3,Personal,60,19.29854584,UP,1,0.286021301,11.78,7/27/13,Current,11/28/11,11/15/11,12/27/11
22,2023027,1,12366,All,25,0.089,A5,Personal,60,18.34703258,DOWN,1,0.135324007,9.69,7/28/13,Current,11/30/11,11/15/11,12/29/11
23,2023027,1,12367,All,25,0.1242,B4,Personal,36,17.96672386,DOWN,1,0,9.81,3/28/13,Charged Off,11/25/11,11/15/11,4/18/13
24,2023027,1,12368,All,75,0.0603,A1,Personal,36,37.14873072,UP,1,0.186441863,43.32,7/28/13,Current,11/17/11,11/15/11,12/29/11
25,2023027,1,12369,All,75,0.0603,A1,Personal,36,37.14877386,UP,1,0.186443178,43.32,7/28/13,Current,11/17/11,11/15/11,12/29/11
26,2023027,1,12370,All,25,0.1349,C1,Personal,60,18.43319194,DOWN,1,0.206509376,11.2,7/28/13,Current,11/28/11,11/15/11,1/8/13
27,2023027,1,12371,All,75,0.0603,A1,Personal,36,37.14849633,DOWN,1,0.18643472,43.32,7/28/13,Current,12/1/11,11/15/11,12/29/11
28,2023027,1,12372,All,25,0.079,A4,Personal,36,12.57813169,UP,1,0.082568681,14.82,7/28/13,Current,11/17/11,11/15/11,12/29/11
29,3048420,1,12373,All,25,0.079,A4,Personal,36,0,UP,1,0,25.33,11/1/12,Fully Paid,8/1/12,7/20/12,10/19/12
30,2054526,1,12374,All,25,0.079,A4,Personal,36,0,UP,1,0,26.2,9/5/12,Fully Paid,11/28/11,11/27/11,8/16/12
31,2054526,1,12375,All,25,0.1991,E4,Personal,60,19.56009949,UP,1,0.219744151,12.54,8/7/13,Current,12/7/11,11/27/11,7/22/13
32,2054526,1,12376,All,50,0.1269,B5,Personal,36,0,UP,1,0,57.52,7/6/13,Fully Paid,11/29/11,11/27/11,6/21/13
33,2066954,1,12377,All,25,0.1596,C5,Personal,36,13.399288,UP,1,0.091207094,16.53,8/12/13,Current,12/2/11,12/1/11,1/12/12
34,2097250,1,12378,All,25,0.1269,B5,Personal,60,18.54715859,DOWN,1,0.081999846,10.86,8/15/13,Current,12/15/11,12/10/11,1/15/12
35,2159809,1,12379,All,25,0.1758,D4,Personal,36,14.23031717,UP,1,0.093464528,16.02,8/14/13,Current,1/9/12,12/31/11,2/14/12
36,2097250,1,12380,All,25,0.0751,A3,Personal,36,19.97001445,DOWN,1,0,6.16,2/20/13,Charged Off,12/15/11,12/10/11,2/26/13
37,2159809,1,12381,All,25,0.079,A4,Personal,36,13.27126675,DOWN,1,0.050600759,14.04,8/10/13,Current,1/4/12,12/31/11,2/10/12
38,2401477,1,12382,All,50,0.1465,C2,Personal,36,30.49522537,DOWN,1,0.16783664,27.52,8/14/13,Current,3/5/12,3/1/12,4/14/12
39,2159809,1,12383,All,25,0.079,A4,Personal,36,13.27125107,DOWN,1,0.047789336,14.04,8/11/13,Current,1/5/12,12/31/11,2/11/12
40,2221839,1,12384,All,25,0.1269,B5,Personal,36,14.47591556,DOWN,1,0.161728508,14.11,7/26/13,Current,1/23/12,1/19/12,2/26/12
41,2159809,1,12385,All,25,0.1269,B5,Personal,36,13.79776492,DOWN,1,0.083998596,14.98,8/10/13,Current,1/10/12,12/31/11,1/4/13
42,2159814,1,12386,All,25,0.1758,D4,Personal,60,19.70794452,DOWN,1,0.231917109,11.16,8/3/13,Current,1/3/12,12/31/11,2/3/12
